agency,org_type,state_hint,flights,first_flight,last_flight,days_since_last_flight,active_days,flights_per_active_day,total_flight_hours,median_duration_min,median_straight_line_mi,pct_with_item_number,pct_night_2200_0559,pct_training_testing,distinct_purpose_values,top_purpose_category,top_category_pct,vanity_url,vanity_page_enabled,dashboard_url,skydio_org_id
Cincinnati Police Department,law_enforcement,,30071,2025-03-19,2026-08-31,1,405,74.25,6189.3,12.4,0.60,0.1,20.8,0.0,1,call_for_service_general,97.7,,,https://www.arcgis.com/apps/dashboards/49102a57e82a4755b015ea84dcd39b01,b322b378-b726-4bd3-93fe-bab0b311191b
CSPD Real-Time Crime Center DFR Flights,law_enforcement,,10817,2025-09-21,2026-09-01,0,237,45.64,2044.5,11.3,0.87,99.7,31.2,1.2,4,dfr_program_generic,97.3,,,https://www.arcgis.com/apps/dashboards/77fe7c984946489aaf32ca7564667c0b,d1b00b98-d57d-46f0-8e13-fa169d4e1a39
Los Angeles Police Department Drone as First Responder,law_enforcement,,10590,2025-07-29,2026-08-31,1,322,32.89,2165.4,12.5,0.77,99.8,2.6,7.2,7,call_for_service_general,79.8,https://cloud.skydio.com/dashboard/lapd,true,https://www.arcgis.com/apps/dashboards/82a43b632c314e298d0b8b0bb62d4d1a,5e6750a5-1bc9-4fb6-a6cf-8693f4d603ff
Wichita Police Department,law_enforcement,,6959,2024-05-29,2026-08-31,1,603,11.54,1778.8,16.9,0.18,91.0,25.8,19.0,16,call_for_service_general,28.3,https://cloud.skydio.com/dashboard/wichita,true,https://www.arcgis.com/apps/dashboards/57fba8ee25a24d1e8d678b00938d77a2,bcdd21c4-5099-465c-b1a8-53f364447517
Philadelphia Police Department,law_enforcement,,5183,2025-03-08,2026-08-30,2,264,19.63,1034.3,11.9,0.82,98.7,8.0,4.7,42,dfr_program_generic,61.3,,,https://www.arcgis.com/apps/dashboards/acc28d9c9fbd48c68d1059452bf2bb1c,1fbc1d0b-0a24-4f30-9fb9-8775f6b4bf6f
Laredo Police Department,law_enforcement,,4876,2026-01-30,2026-08-31,1,213,22.89,865.3,10.3,0.93,99.1,27.3,0.0,15,suspicious_activity,21.2,https://cloud.skydio.com/dashboard/laredopd,true,https://www.arcgis.com/apps/dashboards/54d059bde3374638a21e593fa5d9c417,139347d9-df46-42ce-98d8-980db6bda7ff
Milwaukee Police Department,law_enforcement,,4562,2025-03-08,2026-08-23,9,371,12.30,980.1,13.5,0.34,93.7,15.8,25.3,11,weapons_gunfire,31.9,https://cloud.skydio.com/dashboard/milwaukee,true,https://www.arcgis.com/apps/dashboards/81fc8f0745944ddfbf773850cf28eca8,b438cee6-dca6-4104-ac75-c9b5f4c9c567
Dearborn Police Department (MI),law_enforcement,MI,4409,2026-01-28,2026-08-31,1,201,21.94,708.4,8.7,0.71,93.9,16.7,12.0,26,overwatch_officer_assist,27.1,,,https://www.arcgis.com/apps/dashboards/13937d18670e44d5a20a5a3821f01775,19baabe4-7447-4111-aec4-8ea71de71cb7
Brookhaven Police Department,law_enforcement,,3576,2025-05-22,2026-08-28,4,330,10.84,623.3,9.4,0.42,97.7,1.1,0.6,5,dfr_program_generic,96.4,https://cloud.skydio.com/dashboard/brookhavenpd,true,https://www.arcgis.com/apps/dashboards/71277e089a2e4bdab12566a426a46cac,dbf49e0e-920b-4aad-b7fd-83416cb46f4d
Rochester Police Department - MN,law_enforcement,,3462,2025-09-09,2026-08-13,19,294,11.78,578.8,9.9,0.63,78.9,18.7,19.6,18,reasonable_suspicion_criminal_activity,51.2,,,https://www.arcgis.com/apps/dashboards/fc2491c66ec9416aaab58eb84865d51b,deea8289-a117-4089-b1a8-d1d646a4608b
