agency,state,type,reported_flights,reported_hours,first_flight,last_flight,platforms,flights_per_platform,published_on_two_platforms,shown_on_site,hidden_because,page,agency_dashboards
Chula Vista Police,CA,law enforcement,24348,,2021-04-01,2026-09-02,AirData,AirData: 24348,,yes,,https://drones.ahdatalytics.com/agency/chula-vista-pd-ca,https://app.airdata.com/u/cvpd
Las Vegas Metropolitan Police Department,NV,law enforcement,22294,0,2025-09-03,2026-08-27,AirData + Skydio,AirData: 22293; Skydio: 3,2,yes,,https://drones.ahdatalytics.com/agency/las-vegas-metropolitan-pd,https://app.airdata.com/u/lvmpd | https://www.arcgis.com/apps/dashboards/70a0fe191f6d407e8044e416df7910b2
Cincinnati Police Department,OH,law enforcement,18258,3736,2025-03-19,2026-09-03,Skydio,Skydio: 18258,,yes,,https://drones.ahdatalytics.com/agency/cincinnati-pd,https://www.arcgis.com/apps/dashboards/49102a57e82a4755b015ea84dcd39b01
Elk Grove PD,CA,law enforcement,12553,2378,2023-01-01,2026-09-02,Flock Aerodome + AirData,Flock Aerodome: 10201; AirData: 2508,156,yes,,https://drones.ahdatalytics.com/agency/elk-grove-pd-ca,https://community.elk-grove.ca.us.aerodome.com/ | https://app.airdata.com/u/egpd
CSPD Real-Time Crime Center,CO,law enforcement,10450,1967,2025-09-21,2026-09-04,Skydio,Skydio: 10450,,yes,,https://drones.ahdatalytics.com/agency/cspd-real-time-crime-center,https://www.arcgis.com/apps/dashboards/77fe7c984946489aaf32ca7564667c0b
Redondo Beach Police Department,CA,law enforcement,10300,3233,2020-04-07,2026-08-28,Motorola CAPE + Flock Aerodome,Motorola CAPE: 5709; Flock Aerodome: 4591,,yes,,https://drones.ahdatalytics.com/agency/redondo-beach-pd-ca,https://www.aerial.motorolasolutions.com/transparency/redondobeachpd | https://community.rbpd.ca.us.aerodome.com/
Los Angeles Police Department,CA,law enforcement,9810,1994,2025-07-16,2026-09-02,Skydio + Flock Aerodome,Skydio: 9728; Flock Aerodome: 84,2,yes,,https://drones.ahdatalytics.com/agency/los-angeles-pd,https://cloud.skydio.com/dashboard/lapd | https://community.los-angeles.ca.us.aerodome.com/
San Francisco Police Department,CA,law enforcement,7481,2105,2024-05-16,2026-06-30,City open data,City open data: 7481,,yes,,https://drones.ahdatalytics.com/agency/sfpd,https://www.sanfranciscopolice.org/your-sfpd/explore-department/drones
Wichita Police Department,KS,law enforcement,6682,1705,2024-05-29,2026-09-03,Skydio,Skydio: 6682,,yes,,https://drones.ahdatalytics.com/agency/wichita-pd,https://cloud.skydio.com/dashboard/wichita
Montgomery County Police Department,MD,law enforcement,6019,1386,2023-11-06,2026-09-03,DroneSense + Skydio,DroneSense: 5756; Skydio: 450,187,yes,,https://drones.ahdatalytics.com/agency/montgomery-county-pd-g47-beta,https://dashboard.dronesense.com/MCPDDFR | https://www.arcgis.com/apps/dashboards/10da1489c7e441b99b824c1fc5faf0a9
Sacramento Police Department,CA,law enforcement,5915,,2019-10-17,2026-09-01,AirData,AirData: 5915,,yes,,https://drones.ahdatalytics.com/agency/sacramento-pd-ca,https://app.airdata.com/u/spduas
Azusa PD,CA,law enforcement,5394,2913,2023-12-18,2026-09-03,Flock Aerodome,Flock Aerodome: 5394,,yes,,https://drones.ahdatalytics.com/agency/azusa-pd-ca,https://community.azusa.ca.us.aerodome.com/
Aurora PD,CO,law enforcement,4975,1284,2025-08-12,2026-08-31,Flock Aerodome,Flock Aerodome: 4975,,yes,,https://drones.ahdatalytics.com/agency/aurora-pd-co,https://community.aurora.co.us.aerodome.com/
Alhambra PD,CA,law enforcement,4837,1218,2024-06-20,2026-09-04,Flock Aerodome,Flock Aerodome: 4837,,yes,,https://drones.ahdatalytics.com/agency/alhambra-pd-ca,https://community.alhambra.ca.us.aerodome.com/
Laredo Police Department,TX,law enforcement,4695,828,2026-01-30,2026-09-02,Skydio,Skydio: 4695,,yes,,https://drones.ahdatalytics.com/agency/laredo-pd,https://cloud.skydio.com/dashboard/laredopd
Hawthorne PD,CA,law enforcement,4450,1026,2024-04-15,2026-09-02,Flock Aerodome,Flock Aerodome: 4450,,yes,,https://drones.ahdatalytics.com/agency/hawthorne-pd-ca,https://community.hawthorne.ca.us.aerodome.com/
